platform_specific_name,standard_name
flag yemen,yemen
flag zambia,zambia
flag zimbabwe,zimbabwe
back,back_arrow
holiday tree,christmas_tree
dolls,japanese_dolls
japan post,japanese_post_office
beginner,japanese_symbol_for_beginner
new,new_button
ng,ng_button
mrs claus,mrs._claus
ok,ok_hand
squared ok,ok_button
on,on!_arrow
o,o_button_(blood_type)
santa,santa_claus
scorpius,scorpio
top,top_arrow
up,up!_button
vs,vs_button
anger,anger_symbol
angry,angry_face
anguished,anguished_face
cold sweat,anxious_face_with_sweat
atom,atom_symbol
angel,baby_angel
point down,backhand_index_pointing_down
point up,backhand_index_pointing_up
point left,backhand_index_pointing_left
point right,backhand_index_pointing_right
baguette,baguette_bread
scales,balance_scale
person bald,bald
ballot box,ballot_box_with_ballot
beach,beach_with_umbrella
smiling face,beaming_face_with_smiling_eyes
bento,bento_box
cake,birthday_cake
white and black square,black_square_button
biting lip,biting_lip
bookmark,bookmark_tabs
bridge,bridge_at_night
construction,building_construction
bulls eye,bullseye
silhouettes,busts_in_silhouette
silhouette,bust_in_silhouette
call me,call_me_hand
carousel,carousel_horse
decreasing,chart_decreasing
chocolate,chocolate_bar
m,circled_m
circus,circus_tent
clockwise,clockwise_vertical_arrows
lightning,cloud_with_lightning
thunder and rain,cloud_with_lightning_and_rain
rainy,cloud_with_rain
snowstorm,cloud_with_snow
clown,clown_face
confetti,confetti_ball
counterclockwise,counterclockwise_arrows_button
cowboy,cowboy_hat_face
fingers crossed,crossed_fingers
swords,crossed_swords
crying cat,crying_cat
exchange,currency_exchange
diamond with a dot,diamond_shape_with_a_dot_inside
dollar bills,dollar_banknote
down,down_arrow
drooling,drooling_face
email,e_mail
rage,enraged_face
kissing face,face_blowing_a_kiss
head bandage,face_with_head_bandage
mask,face_with_medical_mask
open mouth,face_with_open_mouth
fast forward,fast_forward_button
double down,fast_down_button
fast up,fast_up_button
fax,fax_machine
fear,fearful_face
film,film_frames
projector,film_projector
shrimp,fried_shrimp
baby chick,front_facing_baby_chick
moon face,full_moon_face
gem,gem_stone
earth americas,globe_showing_americas
earth asia,globe_showing_asia_australia
earth africa,globe_showing_europe_africa
globe,globe_with_meridians
salad,green_salad
green large square,green_square
sweat smile,grinning_face_with_sweat
hear no evil,hear_no_evil_monkey
dollars,heavy_dollar_sign
high heels,high_heeled_shoe
honey,honey_pot
hotdog,hot_dog
inbox,inbox_tray
jack-o-lantern,jack_o_lantern
one,keycap_1
ten,keycap_teng
eight,keycap_8
lipstick kiss,kiss_mark
kiwi,kiwi_fruit
cross,latin_cross
left fist,left_facing_fist
right fist,right_facing_fist
left right,left_right_arrow
left,left_arrow
right,right_arrow
right hook,left_arrow_curving_right
luggage,left_luggage
speech bubble,left_speech_bubble
paperclip chain,linked_paperclips
lying,lying_face
shoe,man’s_shoe
japan,map_of_japan
martial arts,martial_arts_uniform
mirror ball,mirror_ball
mobile phone,mobile_phone
phone off,mobile_phone_off
money face,money_mouth_face
moon ceremony,moon_viewing_ceremony
scooter,motor_scooter
musical notes,musical_note
nauseated,nauseated_face
nazar amulet,nazar_amulet
nerd,nerd_face
neutral,neutral_face
next track,next_track_button
night sky,night_with_stars
no phones,no_mobile_phones
underage,no_one_under_eighteen
non-potable water,non_potable_water
decorative notebook,notebook_with_decorative_cover
older woman,old_woman
folder,open_file_folder
outbox,outbox_tray
part alternation,part_alternation_mark
pause,pause_button
peace,peace_symbol
pensive,pensive_face
wrestling,people_wrestling
fencing,person_fencing
levitating,person_in_suit_levitating
tuxedo,person_in_tuxedo
juggling,person_juggling
water polo,person_playing_water_polo
decoration,pine_decoration
play,play_button
play pause,play_or_pause_button
8 ball,pool_8_ball
poultry,poultry_leg
pregnant,pregnant_woman
push pin,pushpin
racecar,racing_car
record,record_button
apple,red_apple
exclamation,red_exclamation_mark
question,red_question_mark
play reverse,reverse_button
anger bubble,right_anger_bubble
heading down,right_arrow_curving_down
heading up,right_arrow_curving_up
newspaper,rolled_up_newspaper
rugby,rugby_football
see no evil,see_no_evil_monkey
food,shallow_pan_of_food
ski,skis
heart eyes cat,smiling_cat_with_heart_eyes
halo,smiling_face_with_halo
heart eyes,smiling_face_with_heart_eyes
sunglasses,smiling_face_with_sunglasses
sneezing,sneezing_face
snowy mountain,snow_capped_mountain
speak no evil,speak_no_evil_monkey
whale,spouting_whale
ruler,straight_ruler
cloudy,sun_behind_large_cloud
partly cloudy,sun_behind_small_cloud
sun face,sun_with_face
mountain sunrise,sunrise_over_mountains
tshirt,t_shirt
calendar,tear_off_calendar
timer,timer_clock
tired,tired_face
tram,tram_car
camel,two_hump_camel
umbrella with rain,umbrella_with_rain_drops
up down,up_down_arrow
upper left,up_left_arrow
upper right,up_right_arrow
up,up_arrow
upside down,upside_down_face
wheelchair,wheelchair_symbol
windy,wind_face
wine,wine_glass
holding hands,woman_and_man_holding_hands
